instrument_token,exchange_token,tradingsymbol,name,segment
138153476,539662,BFLAFL,BFL ASSET FINVEST ,BSE
3729153,14567,BFUTILITIE,BF UTILITIES,NSE
138379524,540545,BGJL,BHAKTI GEMS AND JEWELLERY LIMI,BSE
3888385,15189,BGRENERGY,BGR ENERGY SYSTEMS,NSE
129189380,504646,BGWTATO,BHAGWATI AUTOCAST.,BSE
136120068,531719,BHAGCHEM,BHAGIRADHA CHEMICALS & INDUSTR,BSE
3430401,13400,BHAGERIA,BHAGERIA INDUSTRIES,NSE
135885572,530803,BHAGIL,BHAGERIA INDUSTRIES ,BSE
130418948,509449,BHAGWOX,BHAGWATI OXYGEN.,BSE
5318657,20776,BHAGYANGR,BHAGYANAGAR INDIA,NSE
5460993,21332,BHAGYAPROP,BHAGYANAGAR PRO,NSE
131147780,512296,BHAGYNAGAR,BHAGYANAGAR INDIA.,BSE
5006337,19556,BHANDARI,BHANDARI HOSIERY EXP,NSE
131227652,512608,BHANDHOS,BHANDARI HOSIERY EXPORTS.,BSE
130944260,511501,BHARAT,BHARAT BHUSHAN SHARE & COMMODI,BSE
136156676,531862,BHARATAGRI,BHARAT AGRI FERT & REALTY.,BSE
108033,422,BHARATFORG,BHARAT FORGE,NSE
109057,426,BHARATGEAR,BHARAT GEARS.,NSE
981505,3834,BHARATRAS,BHARAT RASAYAN,NSE
133946628,523229,BHARATSE,BHARAT SEATS.,BSE
4127489,16123,BHARATWIRE,BHARAT WIRE ROPES.,NSE
139061252,543208,BHARTIA,BHARTIA BACHAT ,BSE
2714625,10604,BHARTIARTL,BHARTI AIRTEL,NSE
134280708,524534,BHASKAGR,BHASKAR AGROCHEMICALS.,BSE
112129,438,BHEL,BHEL,NSE
131653636,514272,BHILSPIN,BHILWARA SPINNERS.,BSE
134874372,526853,BI,BILCARE.,BSE
4718337,18431,BIGBLOC,BIGBLOC CONSTRUCTION,NSE
128014852,500058,BIHSPONG,BIHAR SPONGE IRON.,BSE
134329092,524723,BIJHANS,BIJOY HANS.,BSE
2010369,7853,BIL-BE,BHARTIYA INETRNATIONAL LT,NSE
129454340,505681,BIMETAL,BIMETAL BEARINGS.,BSE
120577,471,BINDALAGRO,OSWAL CHEM. & FERT..,NSE
131639044,514215,BINNY,BINNY.,BSE
137118724,535620,BINNYMILLS,BINNY MILLS.,BSE
2911489,11373,BIOCON,BIOCON,NSE
1058817,4136,BIOFILCHEM,BIOFIL CHEM & PHARMA,NSE
136128516,531752,BIOGEN,BIOGEN PHARMACHEM INDUSTRIES L,BSE
122113,477,BIRLACABLE,BIRLA CABLE,NSE
122881,480,BIRLACORPN,BIRLA CORPORATION,NSE
3901185,15239,BIRLAMONEY,ADITYA BIRLA MONEY,NSE
133658884,522105,BIRLAPREC,BIRLA PRECISION TECHNOLOGIES L,BSE
4502017,17586,BIRLATYRE,BIRLA TYRES,NSE
138990596,542932,BIRLATYRES,BIRLA TYRES ,BSE
136891140,534731,BITL,BRONZE INFRA-TECH.,BSE
1906177,7446,BKMINDST,BKM INDUSTRIES,NSE
132992004,519500,BKV,BKV INDUSTRIES.,BSE
131630852,514183,BLACKROSE,BLACK ROSE INDUSTRIES.,BSE
2081793,8132,BLBLIMITED,BLB,NSE
136316164,532485,BLIL,BALMER LAWRIE INVESTMENTS.,BSE
4931841,19265,BLISSGVS,BLISS GVS PHARMA,NSE
3402241,13290,BLKASHYAP,B.L.KASHYAP & SON,NSE
134713604,526225,BLOOM,BLOOM DEKOR.,BSE
4423425,17279,BLS,BLS INTL SERVS,NSE
129787140,506981,BLUECHIPT,BLUE CHIP TEX INDUSTRIES.,BSE
138139396,539607,BLUECLOUDS,BLUE CLOUD SOFTECH SOLUTIONS L,BSE
126721,495,BLUEDART,BLUE DART EXPRESS,NSE
2127617,8311,BLUESTARCO,BLUE STAR,NSE
138923268,542669,BMW,BMW INDUSTRIES,BSE
130082820,508136,BNALTD,B & A.,BSE
128017668,500069,BNKCAP,BNK CAPITAL MARKETS.,BSE
138123780,539546,BNL,BEEKAY NIRYAT ,BSE
133892868,523019,BNRSEC,B.N.RATHI SECURITIES.,BSE
135887108,530809,BNRUDY,BNR UDYOG.,BSE
6404353,25017,BODALCHEM,BODAL CHEMICALS,NSE
138015236,539122,BODHTREE,BODHTREE CONSULTING ,BSE
128366084,501430,BOMBCYC,BOMBAY CYCLE & MOTOR AGENCY LT,BSE
129189892,504648,BOMBWIR,BOMBAY WIRE ROPES.,BSE
131329,513,BOMDYEING,BOMBAY DYEING & MFG. CO L,NSE
130424324,509470,BOMOXY-B1,BOMBAY OXYGEN INVESTMENTS LIMI,BSE
4966657,19401,BOROLTD,BOROSIL,NSE
806145,3149,BORORENEW,BOROSIL RENEWABLES,NSE
558337,2181,BOSCHLTD,BOSCH,NSE
137463044,536965,BPCAP,B. P. CAPITAL,BSE
134657,526,BPCL,BHARAT PETROLEUM CORP  LT,NSE
135681,530,BPL,BPL,NSE
138520580,541096,BPLPHARMA,BHARAT PARENTERALS ,BSE
131696644,514440,BPTEX,BLUE PEARL TEXSPIN,BSE
129456644,505690,BRADYM,BRADY & MORRIS ENGINEERING CO.,BSE
137137412,535693,BRAHMINFRA,BRAHMAPUTRA INFRASTRUCTURE,BSE
135987972,531203,BRANDREAL,BRAND REALTY SERVICES.,BSE
135732996,530207,BRAWN,BRAWN BIOTECH.,BSE
3344897,13066,BRFL,BOMBAY RAYON FASHIONS,NSE
135743748,530249,BRIDGESE,BRIDGE SECURITIES.,BSE
3887105,15184,BRIGADE,BRIGADE ENTER.,NSE
134843140,526731,BRIGHTBR,BRIGHT BROTHERS.,BSE
136220932,532113,BRIJLEAS,BRIJLAXMI LEASING & FINANCE LT,BSE
138095108,539434,BRIPORT,BRILLIANT PORTFOLIOS.,BSE
140033,547,BRITANNIA,BRITANNIA INDUSTRIES,NSE
5550849,21683,BRNL,BHARAT ROAD NETWORK,NSE
6434817,25136,BROOKS,BROOKS LAB,NSE
5013761,19585,BSE,BSE,NSE
2469633,9647,BSELINFRA,BSEL INFRASTRUCTURE REALT,NSE
207105,809,BSHSL,BOMBAY SUPER HYBRID SEEDS,NSE
143105,559,BSL,BSL,NSE
6093825,23804,BSLGOLDETF,ADITYBIRLA SL GOLD ETF-GR,NSE
6343937,24781,BSLNIFTY,ADITYBIRLA SL NIF ETF-GR,NSE
138242052,540008,BSLSENETFG,ADITYA BIRLA SUN LIFE MUTUAL F,BSE
1790465,6994,BSOFT,BIRLASOFT,NSE
136475652,533108,BTTL,BHILWARA TECHNICAL TEXTILES LT,BSE
137929988,538789,BUDGE BUDGE,BUDGE BUDGE COMPANY,BSE
382465,1494,BURGERKING,BURGER KING INDIA,NSE
3889665,15194,BURNPUR,BURNPUR CEMENT.,NSE
695297,2716,BUTTERFLY,BTRFLY GANDHI APPL,NSE
3859713,15077,BVCL-BE,BARAK VALLEY CEM..,NSE
2027265,7919,BYKE,THE BYKE HOSPITALITY,NSE
2029825,7929,CADILAHC,CADILA HEALTHCARE,NSE
132412420,517236,CALCOM,CALCOM VISION.,BSE
2135297,8341,CALSOFT,CALIFORNIA SOFTWARE CO LT,NSE
134256644,524440,CAMEXLTD,CAMEX.,BSE
1591297,6216,CAMLINFINE,CAMLIN FINE SCIENCES,NSE
87553,342,CAMS,COMPUTER AGE MNGT SER,NSE
2763265,10794,CANBK,CANARA BANK,NSE
149249,583,CANFINHOME,CAN FIN HOMES,NSE
138061828,539304,CANOPYFIN,CANOPY FINANCE ,BSE
5160961,20160,CANTABIL,CANTABIL RETAIL,NSE
5567745,21749,CAPACITE,CAPACITE INFRAPROJECT,NSE
138034692,539198,CAPFIN,CAPFIN INDIA ,BSE
130945284,511505,CAPITALT,CAPITAL TRUST.,BSE
999937,3906,CAPLIPOINT,CAPLIN POINT LAB.,NSE
134333956,524742,CAPPL,CAPLIN POINT LABORATORIES.,BSE
131115268,512169,CAPRICORN,CAPRICORN SYSTEMS GLOBAL SOLUT,BSE
130428420,509486,CAPRIHANS,CAPRIHANS INDIA.,BSE
129916420,507486,CAPRO,CAPROLACTAM CHEMICALS.,BSE
4978433,19447,CAPTRUST,CAPITAL TRUST,NSE
152321,595,CARBORUNIV,CARBORUNDUM UNIVERSAL,NSE
5142017,20086,CAREERP,CAREER POINT,NSE
7452929,29113,CARERATING,CARE RATINGS,NSE
135835908,530609,CARNATIN,CARNATION INDUSTRIES.,BSE
3044097,11891,CASTEXTECH-BE,CASTEX TECHNOLOGIES.,NSE
320001,1250,CASTROLIND,CASTROL INDIA,NSE
135976452,531158,CATVISION,CATVISION ,BSE
3838977,14996,CCCL-BE,CONS. CONST. CONSORT,NSE
137838852,538433,CCFCL,CLASSIC GLOBAL FINANCE & CAPIT,BSE
1634561,6385,CCHHL,COUNTRY CLUB HOSP HOL,NSE
2931713,11452,CCL,CCL PRODUCTS (I),NSE
136166404,531900,CCLINTER,CCL INTERNATIONAL.,BSE
136907780,534796,CDG,CDG PETCHEM,BSE
5420545,21174,CDSL,CENTRAL DEPO SER (I),NSE
3905025,15254,CEATLTD,CEAT,NSE
5177345,20224,CEBBCO,COMMERCIAL ENG & CO.,NSE
135881988,530789,CEEJAY,CEEJAY FINANCE.,BSE
135966468,531119,CEENIK,CEENIK EXPORTS (INDIA).,BSE
131627780,514171,CEETAIN,CEETA INDUSTRIES.,BSE
137915908,538734,CEINSYSTECH,CEINSYS TECH,BSE
3369473,13162,CELEBRITY,CELEBRITY FASHIONS,NSE
133696260,522251,CENLUB,CENLUB INDUSTRIES.,BSE
158465,619,CENTENKA,CENTURY ENKA,NSE
136094980,531621,CENTERAC,CENTERAC TECHNOLOGIES.,BSE
2946817,11511,CENTEXT,CENTURY EXTRUSIONS,NSE
3812865,14894,CENTRALBK,CENTRAL BANK OF INDIA,NSE
628225,2454,CENTRUM,CENTRUM CAPITAL,NSE
3835393,14982,CENTUM,CENTUM ELECTRONICS,NSE
3406081,13305,CENTURYPLY,CENTURY PLYBOARDS (I),NSE
160001,625,CENTURYTEX,CENTURY TEXTILES,NSE
3849985,15039,CERA,CERA SANITARYWARE,NSE
7683073,30012,CEREBRAINT,CEREBRA INT TECH,NSE
160769,628,CESC,CESC,NSE
131159300,512341,CESL,CES,BSE
138237700,539991,CFEL,CONFIDENCE FUTURISTIC ENERGETE,BSE
138319364,540310,CFL,CLASSIC FILAMENTS ,BSE
5204225,20329,CGCL,CAPRI GLOBAL CAPITAL,NSE
194561,760,CGPOWER,CG POWER AND IND SOL,NSE
136061188,531489,CGVAK,CG-VAK SOFTWARE & EXPORTS.,BSE
136178180,531946,CHADPAP,CHADHA PAPERS.,BSE
2187777,8546,CHALET,CHALET HOTELS,NSE
138137604,539600,CHAMAK,CHAMAK HOLDINGS,BSE
135758596,530307,CHAMANSEQ,CHAMAN LAL SETIA EXPORTS.,BSE
163073,637,CHAMBLFERT,CHAMBAL FERTILIZERS,NSE
133706756,522292,CHANDNI,CHANDNI TEXTILES ENGINEERING I,BSE
138912516,542627,CHANDNIMACH,CHANDNI MACHINES ,BSE
135759108,530309,CHANDRAP,CHANDRA PRABHU INTERNATIONAL L,BSE
138452228,540829,CHANDRIMA,CHANDRIMA MERCANTILES ,BSE
136019716,531327,CHARMS,CHARMS INDUSTRIES.,BSE
138188804,539800,CHDCHEM,CHD CHEMICALS ,BSE
3742209,14618,CHEMBOND,CHEMBOND CHEMICALS,NSE
69121,270,CHEMCON,CHEMCON SPECIAL CHEM,NSE
716545,2799,CHEMFAB,CHEMFAB ALKALIS,NSE
138042884,539230,CHEMIESYNT,CHEMIESYNTH (VAPI) ,BSE
129629444,506365,CHEMOPH,CHEMO PHARMA LABORATORIES.,BSE
137986820,539011,CHENFERRO,CHENNAI FERROUS INDUSTRIES LIM,BSE
524545,2049,CHENNPETRO,CHENNAI PETROLEUM CORP LT,NSE
134865156,526817,CHEVIOT,CHEVIOT CO.LTD.,BSE
133438468,521244,CHITRTX,CHITRADURGA SPINTEX.,BSE
136445956,532992,CHLLTD,CHL.,BSE
136186116,531977,CHLOGIST,CHARTERED LOGISTICS.,BSE
131149060,512301,CHMBBRW,CHAMBAL BREWERIES & DISTILLERI,BSE
136027652,531358,CHOICEIN,CHOICE INTERNATIONAL.,BSE
135789316,530427,CHOKSI,CHOKSI IMAGING.,BSE
134795780,526546,CHOKSILA,CHOKSI LABORATORIES.,BSE
175361,685,CHOLAFIN,CHOLAMANDALAM IN & FIN CO,NSE
5565441,21740,CHOLAHLDNG,CHOLAMANDALAM FIN HOL,NSE
132985604,519475,CHORDIA,CHORDIA FOOD PRODUCTS.,BSE
128469252,501833,CHOWGULSTM,CHOWGULE STEAMSHIPS.,BSE
130994180,511696,CHRTEDCA,CHARTERED CAPITAL & INVESTMENT,BSE
132986116,519477,CIANAGRO,CIAN AGRO IND & INFRA,BSE
135905028,530879,CIFL,CAPITAL INDIA FINANCE,BSE
136898052,534758,CIGNITI,CIGNITI TECHNOLOGIES.,BSE
1316353,5142,CIGNITITEC,CIGNITI TECHNOLOGIES,NSE
137929220,538786,CIL,CITIZEN INFOLINE.,BSE
135892228,530829,CILSEC,CIL SECURITIES.,BSE
134751492,526373,CINDHO,CINDRELLA HOTELS.,BSE
136008452,531283,CINDRELL,CINDRELLA FINANCIAL SERVICES L,BSE
6953217,27161,CINELINE,CINELINE INDIA,NSE
135796996,530457,CINERAD,CINERAD COMMUNICATIONS.,BSE
2055169,8028,CINEVISTA-BE,CINEVISTA,NSE
177665,694,CIPLA,CIPLA,NSE
136134404,531775,CISTRO,CISTRO TELELINK.,BSE
128625924,502445,CITADEL,CITADEL REALTY AND DEVELOPERS,BSE
135996164,531235,CITIPOR,CITIPORT FINANCIAL SERVICES LT,BSE
138007300,539091,CITL,CONSECUTIVE INVESTMENTS & TRAD,BSE
133429764,521210,CITYMAN,CITYMAN.,BSE
129923844,507515,CJGEL,C.J.GELATINE PRODUCTS.,BSE
131126532,512213,CLASELE,CLASSIC ELECTRICALS.,BSE
5177089,20223,CLEDUCATE,CL EDUCATE,NSE
138363140,540481,CLFL,CLASSIC LEASING & FINANCE.,BSE
135894788,530839,CLIOINFO,CLIO INFOTECH.,BSE
183041,715,CLNINDIA,CLARIANT CHEMICALS (INDIA,NSE
891393,3482,CLSEL,CHAMAN LAL SETIA EXP,NSE
138290948,540199,CMBL,CORPORATE MERCHANT BANKERS LIM,BSE
132436484,517330,CMI,CMI.,BSE
4898049,19133,CMICABLES,CMI,NSE
134013188,523489,CMMHOSP,CHENNAI MEENAKSHI MULTISPECIAL,BSE
131076612,512018,CNIRESLTD,CNI RESEARCH.,BSE
136552196,533407,CNOVAPETRO,CIL NOVA PETROCHEMICALS.,BSE
5215745,20374,COALINDIA,COAL INDIA,NSE
128468740,501831,COASTCORP,COASTAL CORPORATION.,BSE
131418372,513353,COCHINM,COCHIN MINERALS & RUTILE.,BSE
5506049,21508,COCHINSHIP,COCHIN SHIPYARD,NSE
130194180,508571,COCHMAL,COCHIN MALABAR ESTATES & INDUS,BSE
128037636,500147,COCKERILL,JOHN COCKERILL INDIA,BSE
2858241,11165,COFFEEDAY,COFFEE DAY ENTERPRISE,NSE
2955009,11543,COFORGE,COFORGE,NSE
135989764,531210,COLINZ,COLINZ LABORATORIES.,BSE
138245892,540023,COLORCHIPS,COLORCHIPS NEW MEDIA,BSE
3876097,15141,COLPAL,COLGATE PALMOLIVE.,NSE
136880900,534691,COMCL,COMFORT COMMOTRADE.,BSE
137028356,535267,COMFINCAP,COMFORT FINCAP.,BSE
135991300,531216,COMFINTE,COMFORT INTECH.,BSE
135946500,531041,COMPEAU,COMPETENT AUTOMOBILES CO.LTD.,BSE
4513793,17632,COMPINFO,COMPUAGE INFOCOM,NSE
136308740,532456,COMPUAGE,COMPUAGE INFOCOM.,BSE
7971329,31138,COMPUSOFT,COMPUCOM SOFTWARE,NSE
138236420,539986,COMSYN,COMMERCIAL SYN BAGS ,BSE
133691140,522231,CONART,CONART ENGINEERS.,BSE
1215745,4749,CONCOR,CONTAINER CORP OF IND,NSE
137975044,538965,CONCORD,CONCORD DRUGS ,BSE
129111044,504340,CONFINT,CONFIDENCE FINANCE AND TRADING,BSE
2620929,10238,CONFIPET,CONFIDENCE PETRO IND.,NSE
3003137,11731,CONSOFINVT,CONSO. FIN. & HOLD..,NSE
134104068,523844,CONSTRONIC,CONSTRONICS INFRA,BSE
129775364,506935,CONTCHM,CONTINENTAL CHEMICALS.,BSE
136053764,531460,CONTICON,CONTINENTAL CONTROLS.,BSE
135953156,531067,CONTILI,CONTIL INDIA.,BSE
133947396,523232,CONTPTR,CONTINENTAL PETROLEUMS.,BSE
4474113,17477,CONTROLPR,CONTROL PRINT,NSE
134273540,524506,CORALAB,CORAL LABORATORIES.,BSE
1025793,4007,CORALFINAC,CORAL INDIA FIN & HOUS LT,NSE
3909377,15271,CORDSCABLE,CORDS CABLE INDUS.,NSE
135873284,530755,CORNE,CORAL NEWSPRINTS.,BSE
136490756,533167,COROENGG,COROMANDEL ENGINEERING COMPANY,BSE
189185,739,COROMANDEL,COROMANDEL INTERNTL.,NSE
134844676,526737,CORPOCO,CORPORATE COURIER AND CARGO LT,BSE
135819524,530545,COSCO,COSCO (INDIA).,BSE
133913604,523100,COSMOFE,COSMO FERRITES.,BSE
189953,742,COSMOFILMS,COSMO FILMS,NSE
137964036,538922,COSYN,COSYN ,BSE
4348417,16986,COUNCODOS,COUNTRY CONDO'S,NSE
137465348,536974,CPL,CAPTAIN POLYPLAST,BSE
258313,1009,CPSE INDEX,CPSE INDEX,INDICES
595969,2328,CPSEETF,CPSE ETF,NSE
730625,2854,CRAFTSMAN,CRAFTSMAN AUTOMATION,NSE
137925124,538770,CRANEINFRA,CRANE INFRASTRUCTURE ,BSE
131095812,512093,CRANESSOFT,CRANES SOFTWARE INTERNATIONAL,BSE
133632260,522001,CRANEX,CRANEX.,BSE
130424836,509472,CRAVATEX,CRAVATEX.,BSE
2855681,11155,CREATIVE,CREATIVE PERI & DIST.,NSE
2402305,9384,CREATIVEYE,CREATIVE EYE,NSE
1131777,4421,CREDITACC,CREDITACCESS GRAMEEN,NSE
131169028,512379,CRESSAN,CRESSANDA SOLUTIONS.,BSE
3558401,13900,CREST,CREST VENTURES,NSE
193793,757,CRISIL,CRISIL,NSE
4376065,17094,CROMPTON,CROMPT GREA CON ELEC,NSE
137861380,538521,CROWNTOURS,CROWN TOURS,BSE
134724868,526269,CRSTCHM,CRESTCHEM.,BSE
3831297,14966,CSBBANK,CSB BANK,NSE
137950212,538868,CSL,CONTINENTAL SECURITIES ,BSE
135697156,530067,CSLFINANCE,CSL FINANCE ,BSE
136033284,531380,CSURGSU,CENTENIAL SURGICAL SUTURE.,BSE
3639809,14218,CTE,CAMBRIDGE TECH ENTER,NSE
137849860,538476,CTL,CAPITAL TRADE LINKS,BSE
1459457,5701,CUB,CITY UNION BANK,NSE
2529537,9881,CUBEXTUB-BE,CUBEXTUBINGS-ROLLSETT,NSE
130997764,511710,CUBIFIN,CUBICAL FINANCIAL SERVICES,BSE
486657,1901,CUMMINSIND,CUMMINS INDIA,NSE
4741121,18520,CUPID,CUPID,NSE
136056836,531472,CYBELEIND,CYBELE INDUSTRIES.,BSE
136261380,532271,CYBERMAT,CYBERMATE INFOTEK.,BSE
3031553,11842,CYBERMEDIA,CYBER MEDIA (INDIA).,NSE
1549057,6051,CYBERTECH,CYBERTECH SYSTEMS & SOFTW,NSE
1471489,5748,CYIENT,CYIENT,NSE
3536897,13816,DAAWAT,LT FOODS,NSE
197633,772,DABUR,DABUR INDIA,NSE
138518276,541087,DACE2DDP,DSP MUTUAL FUND,BSE
134866180,526821,DAICHI,DAI-ICHI KARKARIA.,BSE
135891204,530825,DAIKAFFI,DAIKAFFIL CHEMICALS INDIA.,BSE
138158340,539681,DAL,DYNAMIC ARCHISTRUCTURES LIMITE,BSE
2273281,8880,DALALSTCOM-BE,DSJ COMMUNICATIONS.,NSE
2067201,8075,DALBHARAT,DALMIA BHARAT,NSE
199937,781,DALMIASUG,DALMIA BHARAT SUG IN,NSE
4490497,17541,DAMODARIND,DAMODAR INDUSTRIES,NSE
133432324,521220,DAMOINDUS,DAMODAR INDUSTRIES.,BSE
285697,1116,DANGEE-BE,DANGEE DUMS,NSE
136276228,532329,DANLAW,DANLAW TECHNOLOGIES INDIA.,BSE
138332420,540361,DANUBE,DANUBE INDUSTRIES,BSE
138181124,539770,DARJEELING,DARJEELING ROPEWAY COMPANY LIM,BSE
138210308,539884,DARSHANORNA,DARSHAN ORNA ,BSE
2924289,11423,DATAMATICS,DATAMATICS GLOBAL SER,NSE
134769412,526443,DATASOFT,DATASOFT APPLICATION SOFTWARE,BSE
135723780,530171,DAULAT,DAULAT SECURITIES.,BSE
139076356,543267,DAVANGERE,DAVANGERE SUGAR COMPANY LIMITE,BSE
4577537,17881,DBCORP,D.B.CORP,NSE
4630017,18086,DBL,DILIP BUILDCON,NSE
4639745,18124,DBREALTY,D B REALTY,NSE
7963393,31107,DBSTOCKBRO,DB (INT) STOCK BROKERS,NSE
5556225,21704,DCAL,DISHMAN CARBO AMCIS,NSE
3513601,13725,DCBBANK,DCB BANK,NSE
206081,805,DCM,DCM,NSE
1222401,4775,DCMFINSERV,DCM FINANCIAL SERVICES LT,NSE
2825985,11039,DCMNVL,DCM NOUVELLE,NSE
207617,811,DCMSHRIRAM,DCM SHRIRAM,NSE
133982468,523369,DCMSRMIND,DCM SHRIRAM INDUSTRIES.,BSE
209153,817,DCW,DCW,NSE
138127108,539559,DDIL,DEEP DIAMOND INDIA ,BSE
129459972,505703,DECANBRG,DECCAN BEARINGS.,BSE
3798529,14838,DECCANCE,DECCAN CEMENTS,NSE
134336516,524752,DECIPHER,DECIPHER LABS,BSE
131089412,512068,DECNGOLD,DECCAN GOLD MINES.,BSE
138695172,541778,DEEP,DEEP POLYMERS ,BSE
211713,827,DEEPAKFERT,DEEPAK FERTILIZERS & PETR,NSE
129638660,506401,DEEPAKNI,DEEPAK NITRITE.,BSE
5105409,19943,DEEPAKNTR,DEEPAK NITRITE,NSE
131591684,514030,DEEPAKSP,DEEPAK SPINNERS.,BSE
4670465,18244,DEEPENR,DEEP ENE RESOURCES,NSE
139081732,543288,DEEPIND,DEEP INDUSTRIES ,BSE
842753,3292,DEEPINDS,DEEP INDUSTRIES,NSE
138925828,542679,DEL,DHANASHREE ELECTRONICS ,BSE
138136580,539596,DELTA,DELTA INDUSTRIAL RESOURCES LIM,BSE
3851265,15044,DELTACORP,DELTA CORP,NSE
310785,1214,DELTAMAGNT,DELTA MANUFACTURING,NSE
4536833,17722,DEN,DEN NETWORKS,NSE
137609220,537536,DENISCHEM,DENIS CHEM LAB,BSE
1095425,4279,DENORA,DE NORA INDIA,NSE
138034436,539197,DEVHARI,DEVHARI EXPORTS (INDIA) LIMITE,BSE
136085764,531585,DEVINE,DEVINE IMPEX.,BSE
135875844,530765,DEVKI,DEVKI LEASING & FINANCE.,BSE
133014532,519588,DFM,DFM FOODS.,BSE
4933377,19271,DFMFOODS,DFM FOODS,NSE
2648577,10346,DGCONTENT,DIGICONTENT,NSE
137911044,538715,DHABRIYA,DHABRIYA POLYWOOD ,BSE
136172292,531923,DHAMPURE,DHAMPURE SPECIALITY SUGARS,BSE
219393,857,DHAMPURSUG,DHAMPUR SUGAR MILLS.,NSE
135986692,531198,DHANADACO,DHANADA CORPORATION.,BSE
2907905,11359,DHANBANK,DHANLAXMI BANK,NSE
131196164,512485,DHANCOT,DHANLAXMI COTEX.,BSE
133414660,521151,DHANFAB,DHANLAXMI FABRICS.,BSE
3938305,15384,DHANI,DHANI SERVICES,NSE
227877124,890145,DHANIPP,DHANI SERVICES ,BSE
133431300,521216,DHANROTO,DHANALAXMI ROTO SPINNERS.,BSE
6248705,24409,DHANUKA,DHANUKA AGRITECH,NSE
138308612,540268,DHANVARSHA,DHANVARSHA FINVEST ,BSE
129639684,506405,DHARAMSI,DHARAMSI MORARJI CHEMICAL CO.L,BSE
130931460,511451,DHARFIN,DHARANI FINANCE.,BSE
221697,866,DHARSUGAR,DHARANI SUGARS & CHEMICAL,NSE
128497924,501945,DHENUBUILD,DHENU BUILDCON INFRA.,BSE
215553,842,DHFL,DEWAN HOUSING FIN CORP LT,NSE
132483588,517514,DHINDIA,D&H INDIA,BSE
134904580,526971,DHOOTIN,DHOOT INDUSTRIAL FINANCE.,BSE
136014340,531306,DHPIND,DHP INDIA.,BSE
135996676,531237,DHRUVCA,DHRUVA CAPITAL SERVICES.,BSE
130018820,507886,DHRUVES,DHRUV ESTATES.,BSE
5691649,22233,DHUNINV,DHUNSERI INVESTMENTS,NSE
137958916,538902,DHUNTEAIND,DHUNSERI TEA & INDUSTRIES,BSE
128030724,500120,DIAMINESQ,DIAMINES & CHEMICALS.,BSE
5591041,21840,DIAMONDYD,PRATAAP SNACKS,NSE
135925508,530959,DIANATEA,DIANA TEA CO.LTD.,BSE
179969,703,DICIND,DIC INDIA,NSE
4270849,16683,DIGISPICE,DIGISPICE TECHNOLOGIES LT,NSE
135975172,531153,DILIGENT,DILIGENT INDUSTRIES.,BSE
128017412,500068,DISAQ,DISA INDIA.,BSE
3721473,14537,DISHTV,DISH TV INDIA.,NSE
138087684,539405,DITCO,DECOROUS INVESTMENT AND TRADIN,BSE
2800641,10940,DIVISLAB,DIVI'S LABORATORIES,NSE
134736644,526315,DIVSHKT,DIVYASHAKTI GRANITES.,BSE
5552641,21690,DIXON,DIXON TECHNO (INDIA),NSE
3771393,14732,DLF,DLF,NSE
4569857,17851,DLINKINDIA,D-LINK INDIA,NSE
129085444,504240,DLTNCBL,DELTON CABLES.,BSE
5097729,19913,DMART,AVENUE SUPERMARTS,NSE
164097,641,DNAMEDIA,DILIGENT MEDIA CORP.,NSE
3103745,12124,DOLAT,DOLAT INVESTMENTS,NSE
5263361,20560,DOLLAR,DOLLAR INDUSTRIES,NSE
134785028,526504,DOLPHMED,DOLPHIN MEDICAL SERVICES.,BSE
3542785,13839,DONEAR,DONEAR IND.,NSE
239617,936,DPABHUSHAN,D. P. ABHUSHAN,NSE
3947265,15419,DPSCLTD,DPSC,NSE
4326401,16900,DPWIRES,D P WIRES,NSE
134856452,526783,DRAGARWQ,DR.AGARWALS EYE HOSPITAL.,BSE
678657,2651,DRCSYSTEMS-BE,DRC SYSTEMS INDIA,NSE
2885377,11271,DREDGECORP,DREDGING CORP OF INDIA,NSE
138052356,539267,DRHABEEB,DR HABEEBULLAH LIFE SCIENCES L,BSE
136077572,531553,DRL,DISHA RESOURCES,BSE
225537,881,DRREDDY,DR. REDDY'S LABORATORIES,NSE
128293892,501148,DSINVEST,DALAL STREET INVESTMENTS.,BSE
6576641,25690,DSSL,DYNACONS SYS & SOLN,NSE
1594113,6227,DTIL,DHUNSERI TEA & IND..,NSE
7411713,28952,DUCON,DUCON INFRATECHNOLOGIES L,NSE
136056580,531471,DUKEOFS,DUKE OFFSHORE.,BSE
129256452,504908,DUNCANENG,DUNCAN ENGINEERING ,BSE
134746884,526355,DUROPACK,DUROPACK.,BSE
132096772,516003,DUROPLY,DUROPLY INDUSTRIES,BSE
132463876,517437,DUTRON,DUTRON POLYMERS.,BSE
3894785,15214,DVL,DHUNSERI VENTURES,NSE
2986753,11667,DWARKESH,DWARIKESH SUGAR IND,NSE
1158401,4525,DYNAMATECH,DYNAMATIC TECHNOLOGIES,NSE
138443524,540795,DYNAMIC,DYNAMIC CABLES ,BSE
135879428,530779,DYNAMICP,DYNAMIC PORTFOLIO MANAGEMENT &,BSE
134353412,524818,DYNAMIND,DYNAMIC INDUSTRIES.,BSE
132412932,517238,DYNAVSN,DYNAVISION.,BSE
5456385,21314,DYNPRO,DYNEMIC PRODUCTS,NSE
714753,2792,EASEMYTRIP,EASY TRIP PLANNERS,NSE
